List at start:
10203 Mindy  Ho 2000
12345 Jeff  Lee 211.22
14142 James  Bond 1500
20103 Ed  Sullivan 3000
22345 Norma  Patel 2496.24
27183 Teresa  Wong 1234.56
30102 Ray  Baldwin 3824.36
30201 Susan  Woo 9646.75
31456 Jack  Smith 1200
31623 Norris  Hunt 1500

List after update 1
10203 Mindy  Ho 2000
12345 Jeff  Lee 211.22
14142 James  Bond 1500
20103 Ed  Sullivan 3000
22345 Norma  Patel 2496.24
27183 Teresa  Wong 1234.56
30102 Ray  Baldwin 3824.36
30201 Susan  Woo 9646.75
31456 Jack  Smith 1200

List after update 2
10203 Mindy  Ho 2000
12345 Jeff  Lee 211.22
14142 James  Bond 1500
20103 Ed  Sullivan 3000
20301 Joe  Hammil 500
22345 Norma  Patel 2496.24
27183 Teresa  Wong 1234.56
30102 Ray  Baldwin 3824.36
30201 Susan  Woo 9646.75
31456 Jack  Smith 1200

List after update 3
10203 Mindy  Ho 2000
12345 Jeff  Lee 211.22
14142 James  Bond 1500
20103 Ed  Sullivan 3000
20301 Joe  Hammil 500
22345 Norma  Patel 2496.24
27183 Teresa  Wong 1234.56
30102 Ray  Baldwin 3824.36
30201 Susan  Woo 9646.75
31416 Becky  Wu 100
31456 Jack  Smith 1200

List after update 4
12345 Jeff  Lee 211.22
14142 James  Bond 1500
20103 Ed  Sullivan 3000
20301 Joe  Hammil 500
22345 Norma  Patel 2496.24
27183 Teresa  Wong 1234.56
30102 Ray  Baldwin 3824.36
30201 Susan  Woo 9646.75
31416 Becky  Wu 100
31456 Jack  Smith 1200

List after update 5
12345 Jeff  Lee 211.22
14142 James  Bond 3000
20103 Ed  Sullivan 3000
20301 Joe  Hammil 500
22345 Norma  Patel 2496.24
27183 Teresa  Wong 1234.56
30102 Ray  Baldwin 3824.36
30201 Susan  Woo 9646.75
31416 Becky  Wu 100
31456 Jack  Smith 1200

List after update 6
12345 Jeff  Lee 211.22
14142 James  Bond 3000
20103 Ed  Sullivan 3000
20301 Joe  Hammil 500
30102 Ray  Baldwin 3824.36
30201 Susan  Woo 9646.75
31416 Becky  Wu 100
31456 Jack  Smith 1200

List after update 7
10101 Judy  Malik 1000
12345 Jeff  Lee 211.22
14142 James  Bond 3000
20103 Ed  Sullivan 3000
20301 Joe  Hammil 500
30102 Ray  Baldwin 3824.36
30201 Susan  Woo 9646.75
31416 Becky  Wu 100
31456 Jack  Smith 1200

List after update 8
10101 Judy  Malik 1000
12345 Jeff  Lee 211.22
14142 James  Bond 3000
20103 Ed  Sullivan 3000
20301 Joe  Hammil 500
30102 Ray  Baldwin 3824.36
30201 Susan  Woo 9646.75
31416 Becky  Wu 200
31456 Jack  Smith 1200

List after update 9
10101 Judy  Malik 1000
12345 Jeff  Lee 211.22
14142 James  Bond 3000
20103 Ed  Sullivan 3000
20301 Joe  Hammil 500
30102 Ray  Baldwin 3824.36
30201 Susan  Woo 9646.75
31416 Becky  Wu 200
32123 John  Doe 900

List after update 10
10101 Judy  Malik 800
12345 Jeff  Lee 211.22
14142 James  Bond 3000
20103 Ed  Sullivan 3000
20301 Joe  Hammil 500
30102 Ray  Baldwin 3824.36
30201 Susan  Woo 9646.75
31416 Becky  Wu 200
32123 John  Doe 900

List after update 11
10101 Judy  Malik 800
12345 Jeff  Lee 211.22
14142 James  Bond 3000
20103 Ed  Sullivan 3000
20301 Joe  Hammil 500
22222 Joanne  Doe 2750.02
30102 Ray  Baldwin 3824.36
30201 Susan  Woo 9646.75
31416 Becky  Wu 200
32123 John  Doe 900
